(11, 52)
(15, 129)
(40, 172)
(56, 232)
(64, 310)
(69, 364)
(85, 387)
(90, 482)
(109, 523)
(124, 613)
(108, 692)
(152, 713)
(170, 772)
(172, 832)
(197, 925)
(194, 936)
(211, 1013)
(225, 1040)
(242, 1116)
(261, 1182)
(242, 1294)
(270, 1330)
(274, 1359)
(276, 1426)
(307, 1483)
(331, 1531)
(360, 1611)
(325, 1676)
(345, 1738)
(380, 1804)
(383, 1831)
(386, 1890)
(418, 1901)
(378, 2050)
(417, 2053)
(439, 2108)
(398, 2215)
(445, 2217)
(481, 2281)
(505, 2395)
(499, 2476)
(487, 2514)
(552, 2535)
(512, 2653)
(553, 2678)
(557, 2723)
(616, 2795)
(618, 2817)
(587, 2914)
(587, 2985)
(629, 3042)
(646, 3130)
(621, 3154)
(642, 3209)
(635, 3288)
(653, 3335)
(688, 3322)
(709, 3419)
(689, 3488)
(757, 3588)
(727, 3714)
(753, 3697)
(811, 3679)
(755, 3771)
(763, 3875)
(813, 3872)
(740, 4058)
(804, 4066)
(826, 4130)
(840, 4228)
(815, 4245)
(897, 4267)
(875, 4295)
(907, 4422)
(927, 4496)
(903, 4508)
(883, 4498)
(982, 4602)
(917, 4650)
(953, 4735)
(969, 4835)
(1026, 4861)
(946, 5004)
(1012, 4986)
(1021, 5029)
(980, 5137)
(986, 5128)
(1036, 5212)
(1033, 5243)
(1085, 5367)
(1099, 5406)
(1145, 5490)
(1090, 5549)
(1089, 5589)
(1154, 5625)
(1141, 5755)
(1171, 5760)
(1141, 5854)
(1182, 5845)
(1228, 5928)
(1171, 6068)
(1286, 6062)
(1227, 6040)
(1220, 6085)
(1222, 6168)
(1294, 6360)
(1267, 6456)
(1291, 6474)
(1343, 6514)
(1326, 6556)
(1317, 6646)
(1344, 6647)
(1337, 6724)
(1338, 6753)
(1406, 6837)
(1371, 6934)
(1434, 6906)
(1412, 6996)
(1411, 7137)
(1502, 7237)
(1490, 7207)
(1535, 7277)
(1453, 7347)
(1533, 7400)
(1533, 7403)
(1497, 7547)
(1513, 7464)
(1607, 7562)
(1623, 7616)
(1531, 7799)
(1593, 7741)
(1582, 7826)
(1603, 7959)
(1550, 7918)
(1646, 8074)
(1612, 8093)
(1596, 8123)
(1675, 8156)
(1626, 8197)
(1699, 8347)
(1622, 8445)
(1718, 8466)
(1668, 8481)
(1760, 8651)
(1756, 8571)
(1674, 8710)
(1774, 8717)
(1732, 8799)
(1834, 8849)
(1775, 8923)
